r,time,sound,Time (s),heat flux
1,0,-1.098427,0,-1.711566142
2,0.000488,3.893738,0.0005,-1.711566142
3,0.000977,5.682815,0.001,-1.711566142
4,0.001465,3.886236,0.0015,-1.711566142
5,0.001953,-0.764616,0.002,-1.711566142
6,0.002441,-2.189877,0.0025,-1.711566142
7,0.00293,2.445973,0.003,-1.711566142
8,0.003418,-1.676032,0.0035,-1.711566142
9,0.003906,-4.451541,0.004,-1.711566142
10,0.004395,-2.516186,0.0045,-1.711566142
11,0.004883,-2.921261,0.005,-1.711566142
12,0.005371,-1.612271,0.0055,-1.711566142
13,0.005859,-3.1388,0.006,-1.711566142
14,0.006348,-3.615138,0.0065,-1.711566142
15,0.006836,-0.637092,0.007,-1.711566142
16,0.007324,2.194676,0.0075,-1.711566142
17,0.007812,2.280942,0.008,-1.711566142
18,0.008301,0.476862,0.0085,-1.711566142
19,0.008789,-1.758548,0.009,-1.711566142
20,0.009277,-2.291145,0.0095,-1.711566142
21,0.009766,0.570629,0.01,-1.711566142
22,0.010254,-0.010727,0.0105,-1.711566142
23,0.010742,1.594567,0.011,-1.711566142
24,0.01123,6.327934,0.0115,-1.711566142
25,0.011719,7.895721,0.012,-1.711566142
26,0.012207,6.20041,0.0125,-1.711566142
27,0.012695,4.782651,0.013,-1.711566142
28,0.013184,6.09164,0.0135,-1.711566142
29,0.013672,8.169521,0.014,-1.711566142
30,0.01416,9.973601,0.0145,-1.711566142
31,0.014648,9.047182,0.015,-1.711566142
32,0.015137,7.111827,0.0155,-1.711566142
33,0.015625,4.700135,0.016,-1.711566142
34,0.016113,3.214863,0.0165,-1.711566142
35,0.016602,4.055017,0.017,-1.711566142
36,0.01709,8.664612,0.0175,-1.711566142
37,0.017578,11.211328,0.018,-1.711566142
38,0.018066,11.623904,0.0185,-1.711566142
39,0.018555,12.872882,0.019,-1.711566142
40,0.019043,7.681932,0.0195,-1.711566142
41,0.019531,7.749444,0.02,-1.711566142
42,0.02002,11.353854,0.0205,-1.711566142
43,0.020508,10.318665,0.021,-1.711566142
44,0.020996,9.662294,0.0215,-1.711566142
45,0.021484,4.628872,0.022,-1.711566142
46,0.021973,5.465276,0.0225,-1.711566142
47,0.022461,11.046298,0.023,-1.711566142
48,0.022949,9.673546,0.0235,-1.711566142
49,0.023437,8.563343,0.024,-1.711566142
50,0.023926,5.521536,0.0245,-1.711566142
51,0.024414,5.405265,0.025,-1.711566142
52,0.024902,9.230965,0.0255,-1.711566142
53,0.025391,7.738192,0.026,-1.711566142
54,0.025879,6.279175,0.0265,-1.711566142
55,0.026367,4.595116,0.027,-1.711566142
56,0.026855,3.559927,0.0275,-1.711566142
57,0.027344,4.062519,0.028,-1.711566142
58,0.027832,1.467043,0.0285,-1.711566142
59,0.02832,3.297378,0.029,-1.711566142
60,0.028809,6.991805,0.0295,-1.711566142
61,0.029297,3.076088,0.03,-1.711566142
62,0.029785,0.923194,0.0305,-1.711566142
63,0.030273,-1.593517,0.031,-1.711566142
64,0.030762,-3.202562,0.0315,-1.711566142
65,0.03125,1.519553,0.032,-1.711566142
66,0.031738,2.26969,0.0325,-1.711566142
67,0.032227,3.177356,0.033,-1.711566142
68,0.032715,5.247736,0.0335,-1.711566142
69,0.033203,3.702453,0.034,-1.711566142
70,0.033691,-0.445807,0.0345,-1.711566142
71,0.03418,1.437038,0.035,-1.711566142
72,0.034668,5.135215,0.0355,-1.711566142
73,0.035156,2.941063,0.036,-1.711566142
74,0.035645,5.986621,0.0365,-1.711566142
75,0.036133,7.198093,0.037,-1.711566142
76,0.036621,5.0527,0.0375,-1.711566142
77,0.037109,3.679949,0.038,-1.711566142
78,0.037598,3.132348,0.0385,-1.711566142
79,0.038086,4.433837,0.039,-1.711566142
80,0.038574,2.918559,0.0395,-1.711566142
81,0.039062,4.692634,0.04,-1.711566142
82,0.039551,5.469026,0.0405,-1.711566142
83,0.040039,3.529921,0.041,-1.711566142
84,0.040527,5.060201,0.0415,-1.711566142
85,0.041016,5.146467,0.042,-1.711566142
86,0.041504,3.462409,0.0425,-1.711566142
87,0.041992,4.797653,0.043,-1.711566142
88,0.04248,4.797653,0.0435,-1.711566142
89,0.042969,3.90874,0.044,-1.711566142
90,0.043457,7.659427,0.0445,-1.711566142
91,0.043945,7.438137,0.045,-1.711566142
92,0.044434,4.377576,0.0455,-1.711566142
93,0.044922,2.656011,0.046,-1.711566142
94,0.04541,1.500799,0.0465,-1.711566142
95,0.045898,1.058218,0.047,-1.711566142
96,0.046387,-0.854632,0.0475,-1.711566142
97,0.046875,1.118229,0.048,-1.711566142
98,0.047363,3.331135,0.0485,-1.711566142
99,0.047852,0.210563,0.049,-1.711566142
100,0.04834,0.416851,0.0495,-1.711566142
101,0.048828,3.874984,0.05,-1.711566142
102,0.049316,3.556176,0.0505,-1.711566142
